[2019-01-31 23:27:08.100775] get_by_addr(): assigning domain[www.ipanda.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.100775] get_by_addr(): assigning domain[www.chexun.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.100775] get_by_addr(): assigning domain[www.tingbook.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.101775] get_by_addr(): assigning domain[www.aliexpress.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.101775] get_by_addr(): assigning domain[www.waihuo.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.101775] get_by_addr(): assigning domain[www.douban.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.101775] get_by_addr(): assigning domain[www.doyo.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.101775] get_by_addr(): assigning domain[gz.house.sina.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.101775] get_by_addr(): assigning domain[www.job5156.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.101775] get_by_addr(): assigning domain[www.yy.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.102774] get_by_addr(): assigning domain[www.medicinepower.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.102774] get_by_addr(): assigning domain[fashion.huanqiu.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.102774] get_by_addr(): assigning domain[finance.sina.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.102774] get_by_addr(): assigning domain[www.sgcarmart.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.102774] get_by_addr(): assigning domain[www.obgy.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.102774] get_by_addr(): assigning domain[www.doyouhike.net] to addr[127.0.0.1]
[2019-01-31 23:27:08.102774] get_by_addr(): assigning domain[www.duitang.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.103775] get_by_addr(): assigning domain[www.wiki8.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.103775] get_by_addr(): assigning domain[www.hupu.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.103775] get_by_addr(): assigning domain[www.guitarchina.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.103775] get_by_addr(): assigning domain[edu.baidu.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.103775] get_by_addr(): assigning domain[www.morningpost.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.103775] get_by_addr(): assigning domain[www.zhe800.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.103775] get_by_addr(): assigning domain[music.baidu.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.103775] get_by_addr(): assigning domain[www.codoon.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.104774] get_by_addr(): assigning domain[www.alitrip.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.104774] get_by_addr(): assigning domain[life.hao123.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.104774] get_by_addr(): assigning domain[www.tuan800.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.104774] get_by_addr(): assigning domain[www.dxy.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.104774] get_by_addr(): assigning domain[www.sznews.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.104774] get_by_addr(): assigning domain[www.wbiao.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.104774] get_by_addr(): assigning domain[hao123.zongheng.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.105774] get_by_addr(): assigning domain[www.usj.co.jp] to addr[127.0.0.1]
[2019-01-31 23:27:08.105774] get_by_addr(): assigning domain[www.9tour.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.105774] get_by_addr(): assigning domain[yuedu.baidu.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.105774] get_by_addr(): assigning domain[www.gw.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.105774] get_by_addr(): assigning domain[www.cnys.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.105774] get_by_addr(): assigning domain[www.autohome.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.105774] get_by_addr(): assigning domain[www.ik123.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.106775] get_by_addr(): assigning domain[www.icbc.com.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.106775] get_by_addr(): assigning domain[district.ce.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.106775] get_by_addr(): assigning domain[mil.huanqiu.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.106775] get_by_addr(): assigning domain[www.ku6.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.106775] get_by_addr(): assigning domain[sports.qq.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.106775] get_by_addr(): assigning domain[www.qdmm.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.106775] get_by_addr(): assigning domain[www.lvmama.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.107775] get_by_addr(): assigning domain[www.bloomberg.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.107775] get_by_addr(): assigning domain[www.amorepacific.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.107775] get_by_addr(): assigning domain[www.sjmp3.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.107775] get_by_addr(): assigning domain[tuijian.hao123.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.107775] get_by_addr(): assigning domain[www.microsoft.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.107775] get_by_addr(): assigning domain[www.pku.edu.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.107775] get_by_addr(): assigning domain[www.glinfo.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.108774] get_by_addr(): assigning domain[jd.com] to addr[127.0.0.1]
[2019-01-31 23:27:08.108774] get_by_addr(): assigning domain[www.biomart.cn] to addr[127.0.0.1]
[2019-01-31 23:27:08.108774] get_by_addr(): assigning domain[www.target.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.376092] Connection established: ('127.0.0.1', 2951)
[2019-01-31 23:27:40.387088] append(): assigning domain[items.alitrip.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.388089] append(): assigning domain[travelsearch.fliggy.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.390089] append(): assigning domain[tuan.trip.taobao.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.395088] append(): assigning domain[www.uc.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.396089] append(): assigning domain[temai.alitrip.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.397088] append(): assigning domain[www.amap.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.398089] append(): assigning domain[www.fliggy.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.399088] append(): assigning domain[www.alibabaplanet.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.401088] append(): assigning domain[www.alibabagroup.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.403087] append(): assigning domain[www.alios.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.404087] append(): assigning domain[market.fliggy.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.406090] append(): assigning domain[www.umeng.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.408087] append(): assigning domain[saber.fliggy.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.412087] append(): assigning domain[www.beian.gov.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.414090] append(): assigning domain[jipiao.trip.taobao.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.415088] append(): assigning domain[www.aliqin.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.417088] append(): assigning domain[www.alibaba.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.420087] append(): assigning domain[www.alimama.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.424086] append(): assigning domain[www.net.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.427086] append(): assigning domain[jubao.alibaba.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.429084] append(): assigning domain[idinfo.zjaic.gov.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.431087] append(): assigning domain[www.xiami.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.435087] append(): assigning domain[news.uc.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.437085] append(): assigning domain[memberprod.alipay.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.438088] append(): assigning domain[www.aliyun.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.440084] append(): assigning domain[www.dingtalk.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.445087] append(): assigning domain[market.m.taobao.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.449084] append(): assigning domain[ebooking.fliggy.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.450085] append(): assigning domain[m.zhe800.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.452086] append(): assigning domain[www.homekoo.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.452086] append(): assigning domain[www.66law.cn] to addr[127.0.0.1]
[2019-01-31 23:27:40.453086] append(): assigning domain[www.cardbaobao.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.454085] append(): assigning domain[www.xunjinhui.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.455085] append(): assigning domain[www.quanmama.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.455085] append(): assigning domain[www.yaolan.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.456085] append(): assigning domain[www.58pic.com] to addr[127.0.0.1]
[2019-01-31 23:27:40.457086] append(): assigning domain[www.miibeian.gov.cn] to addr[127.0.0.1]
